epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5302.47,0.86539,0.39621,0.97735,0.98857,0.98659,0.99347,0.81025,0.81149,0.31384,0.9553,0.0059041,0.0059041,0.0059041
43,5429.58,0.8672,0.39213,0.97889,0.98725,0.98738,0.99367,0.81868,0.81129,0.31147,0.95399,0.0058042,0.0058042,0.0058042
44,5556.35,0.86565,0.39068,0.97882,0.98823,0.98604,0.9936,0.81627,0.80891,0.30934,0.95332,0.0057043,0.0057043,0.0057043
45,5683.58,0.86705,0.39041,0.97259,0.98269,0.99036,0.99341,0.81097,0.8151,0.30926,0.95795,0.0056044,0.0056044,0.0056044
46,5810.09,0.84937,0.38677,0.9725,0.98859,0.98865,0.99374,0.81319,0.80709,0.30746,0.9518,0.0055045,0.0055045,0.0055045
47,5936.35,0.861,0.38416,0.97186,0.98562,0.9889,0.99344,0.816,0.80441,0.30446,0.94848,0.0054046,0.0054046,0.0054046
48,6062.82,0.86098,0.38585,0.97232,0.98753,0.98758,0.99401,0.81188,0.81878,0.30924,0.9616,0.0053047,0.0053047,0.0053047
49,6189.66,0.83777,0.37684,0.96885,0.98376,0.99128,0.99352,0.81847,0.80424,0.29786,0.95126,0.0052048,0.0052048,0.0052048
50,6315.66,0.84288,0.37815,0.96971,0.98967,0.99027,0.99417,0.81941,0.80553,0.29875,0.9531,0.0051049,0.0051049,0.0051049
51,6442.06,0.85418,0.37755,0.96955,0.98624,0.98926,0.99381,0.81643,0.80823,0.29784,0.95223,0.005005,0.005005,0.005005
52,6568.28,0.83663,0.37354,0.96479,0.9892,0.9896,0.99377,0.82421,0.80208,0.29492,0.94866,0.0049051,0.0049051,0.0049051
53,6695.55,0.84323,0.37121,0.96716,0.98833,0.98859,0.99361,0.81934,0.79893,0.29454,0.94983,0.0048052,0.0048052,0.0048052
54,6822.06,0.83902,0.3737,0.96825,0.98984,0.9849,0.99384,0.81932,0.80893,0.29642,0.95406,0.0047053,0.0047053,0.0047053
55,6949.07,0.8378,0.36911,0.96825,0.98957,0.98731,0.99412,0.82144,0.80118,0.29366,0.94789,0.0046054,0.0046054,0.0046054
56,7075.34,0.84481,0.37183,0.97055,0.99002,0.98758,0.99393,0.82496,0.79598,0.28949,0.94571,0.0045055,0.0045055,0.0045055
57,7201.82,0.83452,0.36737,0.96387,0.99033,0.98725,0.99396,0.82201,0.79448,0.29103,0.94364,0.0044056,0.0044056,0.0044056
58,7327.87,0.82928,0.36578,0.96268,0.98928,0.99094,0.99378,0.81902,0.79482,0.28915,0.94399,0.0043057,0.0043057,0.0043057
59,7453.9,0.8367,0.36212,0.96314,0.98793,0.98914,0.99362,0.8207,0.79338,0.28679,0.94453,0.0042058,0.0042058,0.0042058
60,7580.36,0.83178,0.361,0.95845,0.9909,0.98653,0.99368,0.82849,0.79231,0.28762,0.94493,0.0041059,0.0041059,0.0041059
61,7706.29,0.82644,0.36011,0.96049,0.98934,0.98826,0.9938,0.82816,0.79009,0.28554,0.94211,0.004006,0.004006,0.004006
62,7832.53,0.81797,0.35543,0.9565,0.99058,0.98859,0.99393,0.82819,0.79079,0.28329,0.94283,0.0039061,0.0039061,0.0039061
63,7958.88,0.81643,0.35278,0.95744,0.99117,0.98792,0.99395,0.82747,0.79255,0.28321,0.94459,0.0038062,0.0038062,0.0038062
64,8084.96,0.82143,0.35307,0.95778,0.99108,0.98859,0.9939,0.82852,0.79233,0.28375,0.94471,0.0037063,0.0037063,0.0037063
65,8211.81,0.82374,0.35851,0.95788,0.99071,0.98792,0.99385,0.82645,0.79434,0.28411,0.94411,0.0036064,0.0036064,0.0036064
66,8338.76,0.81238,0.3534,0.9561,0.99031,0.98758,0.99396,0.8267,0.79394,0.28292,0.94348,0.0035065,0.0035065,0.0035065
67,8465.24,0.81697,0.34879,0.95523,0.99147,0.98557,0.99398,0.82606,0.79452,0.28276,0.94378,0.0034066,0.0034066,0.0034066
68,8592.36,0.82176,0.34744,0.9607,0.99123,0.98583,0.99406,0.82851,0.79325,0.28099,0.94363,0.0033067,0.0033067,0.0033067
69,8718.85,0.82461,0.35053,0.96112,0.98959,0.98864,0.9941,0.83003,0.79065,0.27886,0.94241,0.0032068,0.0032068,0.0032068
70,8845.68,0.80682,0.34428,0.95418,0.99099,0.98859,0.99418,0.82993,0.78837,0.27771,0.94158,0.0031069,0.0031069,0.0031069
71,8972.09,0.80584,0.3453,0.95218,0.99125,0.98837,0.99408,0.82974,0.78839,0.27719,0.94209,0.003007,0.003007,0.003007
72,9098.79,0.81626,0.34566,0.95904,0.99052,0.98826,0.99395,0.83006,0.7888,0.27861,0.94186,0.0029071,0.0029071,0.0029071
73,9224.75,0.80502,0.34133,0.95503,0.99091,0.98794,0.99408,0.83141,0.7879,0.27886,0.94098,0.0028072,0.0028072,0.0028072
74,9351.13,0.81024,0.34286,0.95493,0.98993,0.98986,0.99412,0.82972,0.78697,0.27729,0.94048,0.0027073,0.0027073,0.0027073
75,9477.75,0.81493,0.34485,0.95507,0.98993,0.98997,0.99406,0.83006,0.78671,0.27674,0.94012,0.0026074,0.0026074,0.0026074
76,9604.21,0.81017,0.33586,0.95695,0.99027,0.99055,0.9941,0.82931,0.78761,0.27619,0.94007,0.0025075,0.0025075,0.0025075
77,9730.56,0.8009,0.33637,0.94956,0.99053,0.98993,0.99416,0.83055,0.7872,0.27487,0.93969,0.0024076,0.0024076,0.0024076
78,9856.79,0.79649,0.33144,0.95033,0.98935,0.9906,0.99426,0.83177,0.78693,0.27498,0.93971,0.0023077,0.0023077,0.0023077
79,9984,0.80863,0.33623,0.95503,0.98929,0.99165,0.99419,0.83223,0.78664,0.27456,0.93956,0.0022078,0.0022078,0.0022078
80,10111.2,0.80194,0.33258,0.9529,0.98896,0.99175,0.99424,0.83231,0.78523,0.27336,0.93895,0.0021079,0.0021079,0.0021079
81,10237.6,0.80618,0.33385,0.95146,0.98765,0.99263,0.99428,0.8328,0.7853,0.27276,0.93912,0.002008,0.002008,0.002008
82,10364.3,0.79087,0.33008,0.95062,0.98957,0.99094,0.99427,0.8325,0.78461,0.27179,0.93888,0.0019081,0.0019081,0.0019081
83,10491.1,0.79419,0.32937,0.95149,0.98896,0.99229,0.99433,0.83369,0.78369,0.27133,0.93873,0.0018082,0.0018082,0.0018082
84,10617.6,0.80093,0.33105,0.95127,0.98915,0.99295,0.9943,0.83229,0.78399,0.27111,0.93885,0.0017083,0.0017083,0.0017083
