epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7846.21,0.83422,0.5967,0.98671,0.84778,0.82246,0.9055,0.71343,0.99559,0.63009,1.04097,0.00726694,0.00726694,0.00726694
43,8034.92,0.83408,0.59771,0.98905,0.85798,0.8193,0.90733,0.71525,0.99289,0.62506,1.0372,0.00720028,0.00720028,0.00720028
44,8225.46,0.82469,0.59331,0.98578,0.8541,0.8203,0.90608,0.71538,0.99149,0.62324,1.03601,0.00713362,0.00713362,0.00713362
45,8412.58,0.82243,0.58763,0.98379,0.84732,0.82272,0.90482,0.71185,1.00957,0.61964,1.04599,0.00706696,0.00706696,0.00706696
46,8597.66,0.82026,0.58588,0.98304,0.85923,0.81988,0.90825,0.71645,0.99296,0.62065,1.03967,0.0070003,0.0070003,0.0070003
47,8783.26,0.81982,0.58345,0.98034,0.852,0.82819,0.90915,0.71704,0.99465,0.60984,1.03818,0.00693364,0.00693364,0.00693364
48,8966.63,0.81676,0.58174,0.98053,0.85706,0.82313,0.91043,0.7205,0.98991,0.6074,1.03665,0.00686698,0.00686698,0.00686698
49,9148.87,0.81929,0.58019,0.98028,0.85728,0.82538,0.90926,0.72144,0.98309,0.60832,1.03327,0.00680032,0.00680032,0.00680032
50,9329.3,0.82398,0.58605,0.98522,0.86715,0.8243,0.91204,0.7222,0.98555,0.60328,1.03356,0.00673366,0.00673366,0.00673366
51,9511.39,0.81502,0.57512,0.98225,0.85655,0.83318,0.91273,0.72404,0.98031,0.60339,1.03513,0.006667,0.006667,0.006667
52,9693.89,0.81943,0.57936,0.98289,0.8609,0.83139,0.91368,0.72592,0.97471,0.60233,1.03006,0.00660034,0.00660034,0.00660034
53,9876.8,0.81348,0.57605,0.98072,0.86052,0.83141,0.91369,0.72595,0.97785,0.59353,1.02939,0.00653368,0.00653368,0.00653368
54,10059.7,0.80237,0.56702,0.97593,0.85991,0.83828,0.9153,0.7266,0.9778,0.59555,1.02909,0.00646702,0.00646702,0.00646702
55,10241.3,0.80447,0.56479,0.97727,0.85897,0.83831,0.91563,0.72867,0.97417,0.59511,1.02969,0.00640036,0.00640036,0.00640036
56,10425.4,0.80976,0.56807,0.97778,0.86101,0.83724,0.91486,0.7302,0.97286,0.59095,1.02752,0.0063337,0.0063337,0.0063337
57,10607.4,0.80513,0.57014,0.97714,0.86254,0.83656,0.91636,0.72965,0.97497,0.59192,1.02849,0.00626704,0.00626704,0.00626704
