epoch,train_loss,train_loc_loss,train_cls_loss,val_loss,val_loc_loss,val_cls_loss,mAP50,mAP95,precision_avg,recall_avg,mAP95_bus,precision_bus,recall_bus,mAP95_car,precision_car,recall_car,mAP95_motorbike,precision_motorbike,recall_motorbike,mAP95_truck,precision_truck,recall_truck,learning_rate
1,0.6961914300918579,0.3022868037223816,0.22279925644397736,0.2918919831959169,0.16686279204354357,0.10166478246005613,0.6146804690361023,0.30857017636299133,0.23400467600479255,0.31641099545748275,0.2428162693977356,0.4087267816066742,0.34809571504592896,0.2346418797969818,0.4477575123310089,0.5266626477241516,0.46002912521362305,0.4375881254673004,0.6961167454719543,0.6095027923583984,0.5515168309211731,0.6741515398025513,0.0001
2,0.5337258577346802,0.3136676251888275,0.1808771789073944,0.25039831048517086,0.14868897277472623,0.08477654752891454,0.7415667772293091,0.4256744384765625,0.2850186259340015,0.34008373992931173,0.4088856279850006,0.5124956965446472,0.42121586203575134,0.3601006269454956,0.6128969788551331,0.5865122079849243,0.512368381023407,0.5683714151382446,0.7776908874511719,0.6377492547035217,0.5826815366744995,0.722548246383667,0.0001
3,0.47018277645111084,0.28309983015060425,0.15688398480415344,0.22771544910188932,0.13648820690699479,0.07697285378157202,0.7897155284881592,0.48432156443595886,0.30353749465772395,0.3487684409543977,0.48004862666130066,0.5580055713653564,0.4624518156051636,0.43678018450737,0.6705194711685181,0.604358434677124,0.5351048707962036,0.6183172464370728,0.7948918342590332,0.6477025747299194,0.5979571342468262,0.7495959997177124,0.0001
4,0.4348802864551544,0.2653883695602417,0.14378893375396729,0.21511178497058242,0.13085203384285543,0.07169147180532341,0.8232474327087402,0.5213345885276794,0.316883935498347,0.3524832217939956,0.5239481329917908,0.5853836536407471,0.4924275279045105,0.48357897996902466,0.7047421932220459,0.6164867281913757,0.551531195640564,0.662311315536499,0.8021892309188843,0.6532144546508789,0.6037238240242004,0.7607383131980896,0.0001
5,0.411918580532074,0.25382286310195923,0.13489669561386108,0.20415297684384814,0.12409670328471198,0.06846065018604051,0.8361993432044983,0.5405210852622986,0.3222994425666199,0.3549704838674152,0.5318001508712769,0.61309814453125,0.5057211518287659,0.5114649534225464,0.7198381423950195,0.6229203939437866,0.5607957243919373,0.6748412847518921,0.8075319528579712,0.656952977180481,0.6121591329574585,0.7631198167800903,0.0001
6,0.391776442527771,0.24324551224708557,0.12725615501403809,0.2001270004617634,0.12343840089751713,0.06578474997806905,0.845371663570404,0.5465203523635864,0.3254314377273628,0.3573439192468015,0.5324174761772156,0.6092804670333862,0.5170549750328064,0.5273284912109375,0.7266870141029358,0.6223002076148987,0.5647162795066833,0.6897479891777039,0.8143080472946167,0.6538375616073608,0.6120057702064514,0.7785999774932861,0.0001
7,0.37680327892303467,0.23505139350891113,0.12182991206645966,0.19367969925723857,0.11897515839160379,0.06424097550004276,0.8528122901916504,0.5682902336120605,0.3286764902134034,0.3594874389581625,0.560386061668396,0.6368952989578247,0.5364689230918884,0.5394105315208435,0.7349256277084351,0.6314342021942139,0.5697654485702515,0.6932865977287292,0.8174355030059814,0.6602760553359985,0.6170362830162048,0.7811516523361206,0.0001
8,0.3653094172477722,0.2286117672920227,0.11795496940612793,0.19087506563805823,0.11867054551839828,0.06211694035289893,0.8607328534126282,0.5760908722877502,0.3316290275057576,0.36078995730267777,0.5640152096748352,0.6395018100738525,0.5386008620262146,0.5622456669807434,0.737014889717102,0.6382672190666199,0.5744377374649048,0.703312337398529,0.818738579750061,0.6628802418708801,0.6195515394210815,0.7851492762565613,0.0001
9,0.35463637113571167,0.2228146493434906,0.11398196220397949,0.18749837377178136,0.11564690430662525,0.0621345462416535,0.8655232191085815,0.5835084319114685,0.33380033208404836,0.3615487153540995,0.573590874671936,0.6501432061195374,0.5478328466415405,0.5624668598175049,0.7450435757637024,0.6378443241119385,0.5815076231956482,0.7060071229934692,0.8227782249450684,0.6637269854545593,0.6213306188583374,0.7845538854598999,0.0001
10,0.3475174903869629,0.21877291798591614,0.11142593622207642,0.1806462618397243,0.111706027566497,0.05951386528895862,0.8684250712394714,0.5895207524299622,0.33482103303656724,0.362401672774828,0.5664308667182922,0.6592017412185669,0.5577999949455261,0.5746503472328186,0.7486352920532227,0.6382095217704773,0.5823264718055725,0.7093969583511353,0.824211597442627,0.6632636785507202,0.6203797459602356,0.7913583517074585,0.0001
